op1,op2,composition,input_state,output_state,output_prob,entropy,commutes,is_involution
BS,BS,BS∘BS,101,101,1.000,0.000,True,True
BS,ETX,BS∘ETX,101,111,0.165,2.983,False,False
BS,BEL,BS∘BEL,101,011,0.505,1.000,False,False
BS,SYN,BS∘SYN,101,100,1.000,0.000,False,False
BS,ENQ,BS∘ENQ,101,011,0.510,1.000,False,False
BS,ACK,BS∘ACK,101,000,1.000,0.000,False,False
ETX,ETX,ETX∘ETX,101,101,1.000,0.000,True,True
ETX,BEL,ETX∘BEL,101,111,0.280,1.996,False,False
ETX,SYN,ETX∘SYN,101,000,0.165,2.972,False,False
ETX,ENQ,ETX∘ENQ,101,101,0.275,1.991,True,False
ETX,ACK,ETX∘ACK,101,111,0.170,2.967,False,False
BEL,BEL,BEL∘BEL,101,010,0.280,1.995,False,False
BEL,SYN,BEL∘SYN,101,010,0.505,1.000,False,False
BEL,ENQ,BEL∘ENQ,101,100,0.280,1.986,False,False
BEL,ACK,BEL∘ACK,101,110,0.505,1.000,False,False
SYN,SYN,SYN∘SYN,101,101,1.000,0.000,True,True
SYN,ENQ,SYN∘ENQ,101,001,0.530,0.997,False,False
SYN,ACK,SYN∘ACK,101,001,1.000,0.000,True,False
ENQ,ENQ,ENQ∘ENQ,101,101,0.285,1.990,False,False
ENQ,ACK,ENQ∘ACK,101,110,0.510,1.000,False,False
ACK,ACK,ACK∘ACK,101,101,1.000,0.000,True,True
